"order_id","product_id","name"
"1","14","Vòng cổ chống ve rận cho chó"
"2","18","Khăn ướt vệ sinh thú cưng"
"3","4","Vitamin tổng hợp cho mèo"
"3","5","Thuốc tẩy giun cho mèo"
"3","6","Sữa tắm cho mèo"
"4","1","Hạt mèo Whiskas 1kg"
"4","2","Pate mèo cá ngừ"
"4","3","Cát vệ sinh mèo 10L"
"5","18","Khăn ướt vệ sinh thú cưng"
"5","8","Hạt chó Pedigree 3kg"
"5","8","Hạt chó Pedigree 3kg"
"6","20","Bát ăn inox cho chó mèo"
"6","20","Bát ăn inox cho chó mèo"
"6","20","Bát ăn inox cho chó mèo"
"7","15","Thuốc nhỏ mắt thú cưng"
"7","15","Thuốc nhỏ mắt thú cưng"
"8","12","Thuốc tiêu chảy cho chó"
"8","15","Thuốc nhỏ mắt thú cưng"
"9","1","Hạt mèo Whiskas 1kg"
"9","2","Pate mèo cá ngừ"
"9","3","Cát vệ sinh mèo 10L"
"10","1","Hạt mèo Whiskas 1kg"
"10","2","Pate mèo cá ngừ"
"10","3","Cát vệ sinh mèo 10L"
"11","1","Hạt mèo Whiskas 1kg"
"11","2","Pate mèo cá ngừ"
"11","3","Cát vệ sinh mèo 10L"
"12","11","Vitamin tăng đề kháng cho chó"
"12","7","Đồ chơi chuột giả cho mèo"
"13","1","Hạt mèo Whiskas 1kg"
"13","2","Pate mèo cá ngừ"
"14","1","Hạt mèo Whiskas 1kg"
"14","2","Pate mèo cá ngừ"
"14","3","Cát vệ sinh mèo 10L"
"15","17","Bình sữa cho thú con"
"15","11","Vitamin tăng đề kháng cho chó"
"16","1","Hạt mèo Whiskas 1kg"
"16","2","Pate mèo cá ngừ"
"16","3","Cát vệ sinh mèo 10L"
"17","13","Sữa tắm cho chó"
"18","4","Vitamin tổng hợp cho mèo"
"18","5","Thuốc tẩy giun cho mèo"
"18","6","Sữa tắm cho mèo"
"19","4","Vitamin tổng hợp cho mèo"
"19","5","Thuốc tẩy giun cho mèo"
"20","4","Vitamin tổng hợp cho mèo"
"20","5","Thuốc tẩy giun cho mèo"
"21","1","Hạt mèo Whiskas 1kg"
"21","2","Pate mèo cá ngừ"
"21","3","Cát vệ sinh mèo 10L"
"22","4","Vitamin tổng hợp cho mèo"
"22","5","Thuốc tẩy giun cho mèo"
"23","4","Vitamin tổng hợp cho mèo"
"23","5","Thuốc tẩy giun cho mèo"
"24","4","Vitamin tổng hợp cho mèo"
"24","5","Thuốc tẩy giun cho mèo"
"24","6","Sữa tắm cho mèo"
"25","16","Men tiêu hóa thú cưng"
"26","1","Hạt mèo Whiskas 1kg"
"26","2","Pate mèo cá ngừ"
"26","3","Cát vệ sinh mèo 10L"
"27","4","Vitamin tổng hợp cho mèo"
"27","5","Thuốc tẩy giun cho mèo"
"28","4","Vitamin tổng hợp cho mèo"
"28","5","Thuốc tẩy giun cho mèo"
"28","6","Sữa tắm cho mèo"
"29","1","Hạt mèo Whiskas 1kg"
"29","2","Pate mèo cá ngừ"
"30","15","Thuốc nhỏ mắt thú cưng"
"31","4","Vitamin tổng hợp cho mèo"
"31","5","Thuốc tẩy giun cho mèo"
"32","1","Hạt mèo Whiskas 1kg"
"32","2","Pate mèo cá ngừ"
"32","3","Cát vệ sinh mèo 10L"
"33","4","Vitamin tổng hợp cho mèo"
"33","5","Thuốc tẩy giun cho mèo"
"33","6","Sữa tắm cho mèo"
"34","15","Thuốc nhỏ mắt thú cưng"
"34","7","Đồ chơi chuột giả cho mèo"
"34","10","Xương gặm sạch răng cho chó"
"35","4","Vitamin tổng hợp cho mèo"
"36","4","Vitamin tổng hợp cho mèo"
"36","5","Thuốc tẩy giun cho mèo"
"37","1","Hạt mèo Whiskas 1kg"
"37","2","Pate mèo cá ngừ"
"37","3","Cát vệ sinh mèo 10L"
"38","1","Hạt mèo Whiskas 1kg"
"38","2","Pate mèo cá ngừ"
"38","3","Cát vệ sinh mèo 10L"
"39","4","Vitamin tổng hợp cho mèo"
"39","5","Thuốc tẩy giun cho mèo"
"39","6","Sữa tắm cho mèo"
"40","4","Vitamin tổng hợp cho mèo"
"40","5","Thuốc tẩy giun cho mèo"
"41","17","Bình sữa cho thú con"
"42","4","Vitamin tổng hợp cho mèo"
"42","5","Thuốc tẩy giun cho mèo"
"42","6","Sữa tắm cho mèo"
"43","10","Xương gặm sạch răng cho chó"
"43","20","Bát ăn inox cho chó mèo"
"44","4","Vitamin tổng hợp cho mèo"
"44","5","Thuốc tẩy giun cho mèo"
"44","6","Sữa tắm cho mèo"
"45","4","Vitamin tổng hợp cho mèo"
"45","5","Thuốc tẩy giun cho mèo"
"45","6","Sữa tắm cho mèo"
"46","18","Khăn ướt vệ sinh thú cưng"
"46","19","Lồng vận chuyển thú cưng"
"46","7","Đồ chơi chuột giả cho mèo"
"47","1","Hạt mèo Whiskas 1kg"
"47","2","Pate mèo cá ngừ"
"48","1","Hạt mèo Whiskas 1kg"
"48","2","Pate mèo cá ngừ"
"48","3","Cát vệ sinh mèo 10L"
"49","1","Hạt mèo Whiskas 1kg"
"49","2","Pate mèo cá ngừ"
"49","3","Cát vệ sinh mèo 10L"
"50","4","Vitamin tổng hợp cho mèo"
"50","6","Sữa tắm cho mèo"
"51","1","Hạt mèo Whiskas 1kg"
"51","2","Pate mèo cá ngừ"
"51","3","Cát vệ sinh mèo 10L"
"52","4","Vitamin tổng hợp cho mèo"
"52","5","Thuốc tẩy giun cho mèo"
"53","1","Hạt mèo Whiskas 1kg"
"53","2","Pate mèo cá ngừ"
"53","3","Cát vệ sinh mèo 10L"
"54","1","Hạt mèo Whiskas 1kg"
"54","2","Pate mèo cá ngừ"
"54","3","Cát vệ sinh mèo 10L"
"55","1","Hạt mèo Whiskas 1kg"
"55","2","Pate mèo cá ngừ"
"55","3","Cát vệ sinh mèo 10L"
"56","4","Vitamin tổng hợp cho mèo"
"56","5","Thuốc tẩy giun cho mèo"
"57","1","Hạt mèo Whiskas 1kg"
"57","2","Pate mèo cá ngừ"
"57","3","Cát vệ sinh mèo 10L"
"58","1","Hạt mèo Whiskas 1kg"
"58","2","Pate mèo cá ngừ"
"59","4","Vitamin tổng hợp cho mèo"
"60","14","Vòng cổ chống ve rận cho chó"
"60","14","Vòng cổ chống ve rận cho chó"
"60","9","Pate chó vị bò"
"61","1","Hạt mèo Whiskas 1kg"
"61","2","Pate mèo cá ngừ"
"62","4","Vitamin tổng hợp cho mèo"
"62","5","Thuốc tẩy giun cho mèo"
"63","1","Hạt mèo Whiskas 1kg"
"63","2","Pate mèo cá ngừ"
"63","3","Cát vệ sinh mèo 10L"
"64","4","Vitamin tổng hợp cho mèo"
"64","5","Thuốc tẩy giun cho mèo"
"64","6","Sữa tắm cho mèo"
"65","1","Hạt mèo Whiskas 1kg"
"65","2","Pate mèo cá ngừ"
"65","3","Cát vệ sinh mèo 10L"
"66","4","Vitamin tổng hợp cho mèo"
"66","5","Thuốc tẩy giun cho mèo"
"67","4","Vitamin tổng hợp cho mèo"
"67","5","Thuốc tẩy giun cho mèo"
"68","15","Thuốc nhỏ mắt thú cưng"
"69","9","Pate chó vị bò"
"69","18","Khăn ướt vệ sinh thú cưng"
"70","4","Vitamin tổng hợp cho mèo"
"71","20","Bát ăn inox cho chó mèo"
"71","18","Khăn ướt vệ sinh thú cưng"
"71","9","Pate chó vị bò"
"72","4","Vitamin tổng hợp cho mèo"
"72","5","Thuốc tẩy giun cho mèo"
"73","4","Vitamin tổng hợp cho mèo"
"73","5","Thuốc tẩy giun cho mèo"
"73","6","Sữa tắm cho mèo"
"74","1","Hạt mèo Whiskas 1kg"
"74","2","Pate mèo cá ngừ"
"74","3","Cát vệ sinh mèo 10L"
"75","1","Hạt mèo Whiskas 1kg"
"75","2","Pate mèo cá ngừ"
"75","3","Cát vệ sinh mèo 10L"
"76","18","Khăn ướt vệ sinh thú cưng"
"77","4","Vitamin tổng hợp cho mèo"
"77","5","Thuốc tẩy giun cho mèo"
"78","1","Hạt mèo Whiskas 1kg"
"78","2","Pate mèo cá ngừ"
"79","9","Pate chó vị bò"
"79","16","Men tiêu hóa thú cưng"
"80","4","Vitamin tổng hợp cho mèo"
"80","5","Thuốc tẩy giun cho mèo"
"81","1","Hạt mèo Whiskas 1kg"
"81","2","Pate mèo cá ngừ"
"82","1","Hạt mèo Whiskas 1kg"
"82","2","Pate mèo cá ngừ"
"82","3","Cát vệ sinh mèo 10L"
"83","4","Vitamin tổng hợp cho mèo"
"83","5","Thuốc tẩy giun cho mèo"
"84","1","Hạt mèo Whiskas 1kg"
"84","2","Pate mèo cá ngừ"
"84","3","Cát vệ sinh mèo 10L"
"85","4","Vitamin tổng hợp cho mèo"
"85","5","Thuốc tẩy giun cho mèo"
"86","1","Hạt mèo Whiskas 1kg"
"86","2","Pate mèo cá ngừ"
"86","3","Cát vệ sinh mèo 10L"
"87","1","Hạt mèo Whiskas 1kg"
"87","2","Pate mèo cá ngừ"
"87","3","Cát vệ sinh mèo 10L"
"88","1","Hạt mèo Whiskas 1kg"
"88","2","Pate mèo cá ngừ"
"89","1","Hạt mèo Whiskas 1kg"
"89","2","Pate mèo cá ngừ"
"90","12","Thuốc tiêu chảy cho chó"
"90","7","Đồ chơi chuột giả cho mèo"
"91","1","Hạt mèo Whiskas 1kg"
"91","2","Pate mèo cá ngừ"
"91","3","Cát vệ sinh mèo 10L"
"92","15","Thuốc nhỏ mắt thú cưng"
"92","19","Lồng vận chuyển thú cưng"
"93","12","Thuốc tiêu chảy cho chó"
"93","7","Đồ chơi chuột giả cho mèo"
"93","7","Đồ chơi chuột giả cho mèo"
"94","4","Vitamin tổng hợp cho mèo"
"94","5","Thuốc tẩy giun cho mèo"
"94","6","Sữa tắm cho mèo"
"95","4","Vitamin tổng hợp cho mèo"
"95","5","Thuốc tẩy giun cho mèo"
"96","20","Bát ăn inox cho chó mèo"
"97","1","Hạt mèo Whiskas 1kg"
"97","2","Pate mèo cá ngừ"
"97","3","Cát vệ sinh mèo 10L"
"98","4","Vitamin tổng hợp cho mèo"
"98","5","Thuốc tẩy giun cho mèo"
"98","6","Sữa tắm cho mèo"
"99","4","Vitamin tổng hợp cho mèo"
"99","5","Thuốc tẩy giun cho mèo"
"100","19","Lồng vận chuyển thú cưng"
"100","10","Xương gặm sạch răng cho chó"
"100","12","Thuốc tiêu chảy cho chó"
"101","10","Xương gặm sạch răng cho chó"
"101","18","Khăn ướt vệ sinh thú cưng"
"101","14","Vòng cổ chống ve rận cho chó"
"102","4","Vitamin tổng hợp cho mèo"
"102","5","Thuốc tẩy giun cho mèo"
"102","6","Sữa tắm cho mèo"
"103","18","Khăn ướt vệ sinh thú cưng"
"103","18","Khăn ướt vệ sinh thú cưng"
"104","4","Vitamin tổng hợp cho mèo"
"104","5","Thuốc tẩy giun cho mèo"
"104","6","Sữa tắm cho mèo"
"105","1","Hạt mèo Whiskas 1kg"
"105","2","Pate mèo cá ngừ"
"105","3","Cát vệ sinh mèo 10L"
"106","1","Hạt mèo Whiskas 1kg"
"106","2","Pate mèo cá ngừ"
"106","3","Cát vệ sinh mèo 10L"
"107","1","Hạt mèo Whiskas 1kg"
"107","2","Pate mèo cá ngừ"
"108","4","Vitamin tổng hợp cho mèo"
"108","5","Thuốc tẩy giun cho mèo"
"109","1","Hạt mèo Whiskas 1kg"
"109","2","Pate mèo cá ngừ"
